signal_level,memory_level,model_name,n_rows,n_grids,valid_pixels,flood_pixels,tp,fp,fn,tn,pooled_precision,pooled_recall,pooled_f1,pooled_iou,fp_per_flood_pixel,fn_per_flood_pixel,fp_rate_valid,fp_rate_nonflood,predicted_positive_rate,median_grid_f1,mean_grid_f1,median_fp_rate_valid,mean_flood_fraction,mean_permanent_water_fraction,mean_obs_ambiguity_score,mean_hydro_implausibility_score
moderate_signal,high_memory,r19,201,201,9864342,1202835,196902,1141304,1005933,7520203,0.1471387813236527,0.1636982628540074,0.15497742854208177,0.08399757864188089,0.9488450203061933,0.8363017371459925,0.11569996255198775,0.13176737027401814,0.13566094930609665,0.0270977675134719,0.1038265197313769,0.022580516581632654,0.1209144252669577,0.21171623615096166,,
moderate_signal,high_memory,r20,201,201,9864342,1202835,876523,2089705,326312,6571802,0.2955008852994443,0.72871424592733,0.42048920824655334,0.26621483717737676,1.7373164232833265,0.27128575407266997,0.21184433791934626,0.24126344295513472,0.30070206406063377,0.4436273056165115,0.42650204185415796,0.13425557852334766,0.1209144252669577,0.21171623615096166,,
moderate_signal,moderate_memory,r19,313,313,15623231,1805567,58060,29548,1747507,13788116,0.6627248653091042,0.03215610387208007,0.06133611525611736,0.03163834419096351,0.016364942425288014,0.9678438961279199,0.0018912861238497979,0.0021384222398228817,0.005607546864025758,0.0007328691828508,0.04036128602711222,0.0,0.11532284321668876,0.014775217594337144,,
moderate_signal,moderate_memory,r20,313,313,15623231,1805567,1223029,414413,582538,13403251,0.7469143945251191,0.6773656142364144,0.7104419419176656,0.5509189271975423,0.22951959135274405,0.3226343857635856,0.026525435103660695,0.029991538367121966,0.10480815395995872,0.6958976042008533,0.6606665190673275,0.020946269132653062,0.11532284321668876,0.014775217594337144,,
moderate_signal,no_or_trace_memory,r19,1154,1154,57715341,6832820,124415,24278,6708405,50858243,0.836723988351839,0.01820844102435012,0.035641271455055655,0.018143972858489114,0.003553144967963447,0.9817915589756498,0.00042065072438885874,0.00047713830845763324,0.0025763167543270686,0.0,0.02320932935709319,0.0,0.1183021578983692,2.4338403690599862e-05,,
moderate_signal,no_or_trace_memory,r20,1154,1154,57715341,6832820,4640221,1190800,2192599,49691721,0.7957819050900349,0.6791077476064056,0.7328299526186408,0.5783201348019971,0.17427650662537575,0.3208922523935944,0.020632296012943942,0.023402928483044306,0.10103069476796472,0.7518425744866204,0.701420728176177,0.008549904336734693,0.1183021578983692,2.4338403690599862e-05,,
no_or_trace_signal,high_memory,r19,39,39,1921057,37,6,676588,31,1244432,8.86794739533605e-06,0.16216216216216217,1.7734924944319727e-05,8.86754110474783e-06,18286.162162162163,0.8378378378378378,0.3521956922673299,0.35220247576808156,0.3521988155478989,0.0,6.171372852746154e-06,0.1012436224489796,2.0173781276512518e-05,0.5539332098207941,,
no_or_trace_signal,high_memory,r20,39,39,1921057,37,28,1111394,9,809626,2.5192951012306755e-05,0.7567567567567568,5.038422469924666e-05,2.5192747008136357e-05,30037.675675675677,0.24324324324324326,0.5785325474465359,0.5785436903311783,0.5785471227558578,0.0,0.00014542811484800634,0.7597855548469388,2.0173781276512518e-05,0.5539332098207941,,
no_or_trace_signal,moderate_memory,r19,90,90,4366702,737,78,23777,659,4342188,0.0032697547683923707,0.10583446404341927,0.00634352635003253,0.003181855266378396,32.26187245590231,0.8941655359565808,0.005445070444468159,0.005445989603672956,0.005462932895352144,0.0,0.0054940505760177885,0.0,0.00016545635127757335,0.011673916853304767,,
no_or_trace_signal,moderate_memory,r20,90,90,4366702,737,285,121479,452,4244486,0.002340593278801616,0.38670284938941657,0.004653023240626607,0.0023319368986057473,164.8290366350068,0.6132971506105834,0.027819393217123588,0.02782408929068373,0.027884659864584303,0.0,0.017961625299881007,0.01289432592766207,0.00016545635127757335,0.011673916853304767,,
no_or_trace_signal,no_or_trace_memory,r19,2228,2228,108855164,4157,2,161325,4155,108689682,1.2397180881067645e-05,0.0004811161895597787,2.4171521113823696e-05,1.208590662428542e-05,38.80803464036565,0.9995188838104402,0.001482015129755351,0.0014820717276414356,0.0014820335027927569,0.0,3.3874191253683797e-05,0.0,3.72982392545964e-05,4.31157370937603e-06,,
no_or_trace_signal,no_or_trace_memory,r20,2228,2228,108855164,4157,1462,3066433,2695,105784574,0.0004765482521403112,0.3516959345681982,0.0009518068053535552,0.0004761299945613058,737.6552802501805,0.6483040654318017,0.02816984410587999,0.028170919907061585,0.028183274796223724,0.0,0.006932132443981937,0.0028942792880747863,3.72982392545964e-05,4.31157370937603e-06,,
strong_signal,high_memory,r19,139,139,6524499,2925154,1059189,784579,1865965,2814766,0.5744697814475574,0.36209683319237207,0.4442047909359809,0.285516235265449,0.26821801518826016,0.6379031668076279,0.1202512254197602,0.21797827104653764,0.28259150625971435,0.312981298129813,0.34316346900103095,0.08900669642857142,0.4446330225073822,0.1905086836860919,,
strong_signal,high_memory,r20,139,139,6524499,2925154,2798610,1811934,126544,1787411,0.6070021238274702,0.9567393716706881,0.7427606573405675,0.5907869982571572,0.6194320025543955,0.04326062832931189,0.2777123576844751,0.5034065920327171,0.7066510394131411,0.7461328935202539,0.7234488398427261,0.2557397959183674,0.4446330225073822,0.1905086836860919,,
strong_signal,moderate_memory,r19,113,113,5635561,2550017,530442,38659,2019575,3046885,0.9320700543488766,0.20801508382100983,0.3401230732534005,0.20490860965219285,0.01516029108825549,0.7919849161789901,0.006859831700872371,0.012529071048735652,0.10098391269298655,0.0878814739774597,0.22026904974038553,0.0011160714285714285,0.4526057833396783,0.017551464469519502,,
strong_signal,moderate_memory,r20,113,113,5635561,2550017,2302588,458444,247429,2627100,0.8339591862752768,0.9029696664767333,0.867093487557731,0.7653707327434193,0.17978076224589876,0.0970303335232667,0.0813484229875251,0.1485780141200385,0.48993028378186304,0.8633990610328639,0.8482325821789726,0.05717873086734694,0.4526057833396783,0.017551464469519502,,
strong_signal,no_or_trace_memory,r19,438,438,21905751,11820625,3050288,36459,8770337,10048667,0.9881885363458683,0.2580479458573468,0.40923215708308613,0.2572544817933313,0.0030843546766774177,0.7419520541426532,0.0016643574557201897,0.00361512587943869,0.14091034815469233,0.1306800697327143,0.25412180717883925,0.0,0.5400136368378182,1.574366904295965e-05,,
strong_signal,no_or_trace_memory,r20,438,438,21905751,11820625,10963326,1498727,857299,8586399,0.8797367496350722,0.9274743086765717,0.9029750343022298,0.8231125658365361,0.1267891503198858,0.07252569132342833,0.0684170563246154,0.14860766241294357,0.5688941228264669,0.8867948533243233,0.876027309747097,0.043237802933673464,0.5400136368378182,1.574366904295965e-05,,
weak_signal,high_memory,r19,298,298,13299864,254065,16572,1068511,237493,11977288,0.015272564402907427,0.06522740243638439,0.024750064966680304,0.012530092788618575,4.205659968905595,0.9347725975636156,0.08033999445407863,0.08190460392652071,0.0815860222330093,0.0,0.03008020754142368,0.026667558658628673,0.018506878002023084,0.22578284426538775,,
weak_signal,high_memory,r20,298,298,13299864,254065,139250,2780908,114815,10264891,0.04768577590664615,0.548088087694094,0.08773800706503607,0.04588179202912184,10.945655639304903,0.451911912305906,0.2090929651611475,0.213165019635823,0.21956299703515766,0.0748535002282949,0.12508249786160414,0.10636559311224489,0.018506878002023084,0.22578284426538775,,
weak_signal,moderate_memory,r19,411,411,20250237,376601,4863,47213,371738,19826423,0.09338274829095937,0.012912870650901086,0.022688411088068638,0.011474373192013478,0.12536610364815812,0.9870871293490989,0.0023314788859014344,0.002375659894344447,0.002571624223459706,0.0,0.01685318328003118,0.0,0.018432883315346517,0.014493455540963684,,
weak_signal,moderate_memory,r20,411,411,20250237,376601,190868,421286,185733,19452350,0.31179735818111126,0.5068175602295267,0.38607744082204387,0.23921683145608338,1.118653428960624,0.49318243977047327,0.020804003429688255,0.021198234686395586,0.03022947336369446,0.3620689655172414,0.351286482987392,0.011937978316326531,0.018432883315346517,0.014493455540963684,,
weak_signal,no_or_trace_memory,r19,1679,1679,83879351,1391502,7342,38033,1384160,82449816,0.16180716253443525,0.005276312933793843,0.010219385514556917,0.005135935811295281,0.027332335850038303,0.9947236870662062,0.0004534250628620148,0.00046107396981584525,0.0005409555445892757,0.0,0.006491337553878845,0.0,0.016579664886746486,1.5688193807464194e-05,,
weak_signal,no_or_trace_memory,r20,1679,1679,83879351,1391502,717154,985355,674348,81502494,0.42123360287669553,0.5153812211552696,0.46357559814751786,0.3017236628034417,0.7081233084824887,0.48461877884473037,0.011747289270275827,0.011945456354426214,0.02029711698651555,0.485207100591716,0.43862051102892374,0.0020129145408163264,0.016579664886746486,1.5688193807464194e-05,,
