signal_level,memory_level,n_grids,valid_pixels,flood_pixels,r19_pooled_precision,r20_pooled_precision,r20_minus_r19_pooled_precision,r19_pooled_recall,r20_pooled_recall,r20_minus_r19_pooled_recall,r19_pooled_f1,r20_pooled_f1,r20_minus_r19_pooled_f1,r19_pooled_iou,r20_pooled_iou,r20_minus_r19_pooled_iou,r19_fp_per_flood_pixel,r20_fp_per_flood_pixel,r20_minus_r19_fp_per_flood_pixel,r19_fp_rate_valid,r20_fp_rate_valid,r20_minus_r19_fp_rate_valid,r19_predicted_positive_rate,r20_predicted_positive_rate,r20_minus_r19_predicted_positive_rate,r19_median_grid_f1,r20_median_grid_f1,r20_minus_r19_median_grid_f1,f1_winner,precision_winner,recall_winner,low_fp_rate_winner
moderate_signal,high_memory,201,9864342,1202835,0.1471387813236527,0.2955008852994443,0.14836210397579158,0.1636982628540074,0.72871424592733,0.5650159830733226,0.15497742854208177,0.42048920824655334,0.2655117797044716,0.08399757864188089,0.26621483717737676,0.18221725853549586,0.9488450203061933,1.7373164232833265,0.7884714029771331,0.11569996255198775,0.21184433791934626,0.09614437536735851,0.13566094930609665,0.30070206406063377,0.16504111475453712,0.0270977675134719,0.4436273056165115,0.4165295381030396,r20,r20,r20,r19
moderate_signal,moderate_memory,313,15623231,1805567,0.6627248653091042,0.7469143945251191,0.08418952921601486,0.03215610387208007,0.6773656142364144,0.6452095103643343,0.06133611525611736,0.7104419419176656,0.6491058266615483,0.03163834419096351,0.5509189271975423,0.5192805830065788,0.016364942425288014,0.22951959135274405,0.21315464892745603,0.0018912861238497979,0.026525435103660695,0.024634148979810897,0.005607546864025758,0.10480815395995872,0.09920060709593297,0.0007328691828508,0.6958976042008533,0.6951647350180026,r20,r20,r20,r19
moderate_signal,no_or_trace_memory,1154,57715341,6832820,0.836723988351839,0.7957819050900349,-0.04094208326180415,0.01820844102435012,0.6791077476064056,0.6608993065820554,0.035641271455055655,0.7328299526186408,0.6971886811635851,0.018143972858489114,0.5783201348019971,0.5601761619435079,0.003553144967963447,0.17427650662537575,0.1707233616574123,0.00042065072438885874,0.020632296012943942,0.020211645288555083,0.0025763167543270686,0.10103069476796472,0.09845437801363766,0.0,0.7518425744866204,0.7518425744866204,r20,r19,r20,r19
no_or_trace_signal,high_memory,39,1921057,37,8.86794739533605e-06,2.5192951012306755e-05,1.6325003616970706e-05,0.16216216216216217,0.7567567567567568,0.5945945945945946,1.7734924944319727e-05,5.038422469924666e-05,3.2649299754926933e-05,8.86754110474783e-06,2.5192747008136357e-05,1.6325205903388527e-05,18286.162162162163,30037.675675675677,11751.513513513513,0.3521956922673299,0.5785325474465359,0.22633685517920604,0.3521988155478989,0.5785471227558578,0.22634830720795895,0.0,0.0,0.0,r20,r20,r20,r19
no_or_trace_signal,moderate_memory,90,4366702,737,0.0032697547683923707,0.002340593278801616,-0.0009291614895907546,0.10583446404341927,0.38670284938941657,0.2808683853459973,0.00634352635003253,0.004653023240626607,-0.001690503109405923,0.003181855266378396,0.0023319368986057473,-0.0008499183677726486,32.26187245590231,164.8290366350068,132.56716417910448,0.005445070444468159,0.027819393217123588,0.022374322772655428,0.005462932895352144,0.027884659864584303,0.02242172696923216,0.0,0.0,0.0,r19,r19,r20,r19
no_or_trace_signal,no_or_trace_memory,2228,108855164,4157,1.2397180881067645e-05,0.0004765482521403112,0.00046415107125924356,0.0004811161895597787,0.3516959345681982,0.35121481837863844,2.4171521113823696e-05,0.0009518068053535552,0.0009276352842397316,1.208590662428542e-05,0.0004761299945613058,0.0004640440879370204,38.80803464036565,737.6552802501805,698.8472456098148,0.001482015129755351,0.02816984410587999,0.02668782897612464,0.0014820335027927569,0.028183274796223724,0.026701241293430968,0.0,0.0,0.0,r20,r20,r20,r19
strong_signal,high_memory,139,6524499,2925154,0.5744697814475574,0.6070021238274702,0.03253234237991276,0.36209683319237207,0.9567393716706881,0.594642538478316,0.4442047909359809,0.7427606573405675,0.2985558664045866,0.285516235265449,0.5907869982571572,0.3052707629917082,0.26821801518826016,0.6194320025543955,0.3512139873661353,0.1202512254197602,0.2777123576844751,0.15746113226471492,0.28259150625971435,0.7066510394131411,0.42405953315342676,0.312981298129813,0.7461328935202539,0.4331515953904409,r20,r20,r20,r19
strong_signal,moderate_memory,113,5635561,2550017,0.9320700543488766,0.8339591862752768,-0.09811086807359981,0.20801508382100983,0.9029696664767333,0.6949545826557234,0.3401230732534005,0.867093487557731,0.5269704143043304,0.20490860965219285,0.7653707327434193,0.5604621230912264,0.01516029108825549,0.17978076224589876,0.16462047115764328,0.006859831700872371,0.0813484229875251,0.07448859128665274,0.10098391269298655,0.48993028378186304,0.3889463710888765,0.0878814739774597,0.8633990610328639,0.7755175870554042,r20,r19,r20,r19
strong_signal,no_or_trace_memory,438,21905751,11820625,0.9881885363458683,0.8797367496350722,-0.10845178671079614,0.2580479458573468,0.9274743086765717,0.6694263628192249,0.40923215708308613,0.9029750343022298,0.49374287721914367,0.2572544817933313,0.8231125658365361,0.5658580840432048,0.0030843546766774177,0.1267891503198858,0.12370479564320838,0.0016643574557201897,0.0684170563246154,0.0667526988688952,0.14091034815469233,0.5688941228264669,0.42798377467177456,0.1306800697327143,0.8867948533243233,0.756114783591609,r20,r19,r20,r19
weak_signal,high_memory,298,13299864,254065,0.015272564402907427,0.04768577590664615,0.03241321150373872,0.06522740243638439,0.548088087694094,0.48286068525770964,0.024750064966680304,0.08773800706503607,0.06298794209835576,0.012530092788618575,0.04588179202912184,0.03335169924050327,4.205659968905595,10.945655639304903,6.739995670399308,0.08033999445407863,0.2090929651611475,0.12875297070706887,0.0815860222330093,0.21956299703515766,0.13797697480214838,0.0,0.0748535002282949,0.0748535002282949,r20,r20,r20,r19
weak_signal,moderate_memory,411,20250237,376601,0.09338274829095937,0.31179735818111126,0.21841460989015188,0.012912870650901086,0.5068175602295267,0.49390468957862566,0.022688411088068638,0.38607744082204387,0.36338902973397524,0.011474373192013478,0.23921683145608338,0.2277424582640699,0.12536610364815812,1.118653428960624,0.9932873253124659,0.0023314788859014344,0.020804003429688255,0.01847252454378682,0.002571624223459706,0.03022947336369446,0.027657849140234753,0.0,0.3620689655172414,0.3620689655172414,r20,r20,r20,r19
weak_signal,no_or_trace_memory,1679,83879351,1391502,0.16180716253443525,0.42123360287669553,0.25942644034226026,0.005276312933793843,0.5153812211552696,0.5101049082214758,0.010219385514556917,0.46357559814751786,0.45335621263296094,0.005135935811295281,0.3017236628034417,0.2965877269921464,0.027332335850038303,0.7081233084824887,0.6807909726324504,0.0004534250628620148,0.011747289270275827,0.011293864207413813,0.0005409555445892757,0.02029711698651555,0.019756161441926275,0.0,0.485207100591716,0.485207100591716,r20,r20,r20,r19
