signal_level,memory_level,model_name,n_rows,n_grids,valid_pixels,flood_pixels,tp,fp,fn,tn,pooled_precision,pooled_recall,pooled_f1,pooled_iou,fp_per_flood_pixel,fn_per_flood_pixel,fp_rate_valid,fp_rate_nonflood,predicted_positive_rate,median_grid_f1,mean_grid_f1,median_fp_rate_valid,mean_flood_fraction,mean_permanent_water_fraction,mean_obs_ambiguity_score,mean_hydro_implausibility_score
moderate_signal,high_memory,r19,18,18,896817,123266,34265,109309,89001,664242,0.2386574170810871,0.2779760842405854,0.25682056663168934,0.1473288186606471,0.8867733194879367,0.7220239157594146,0.12188551287497895,0.14130807147815722,0.16009286175440474,0.18399038174297325,0.20494994771463904,0.0872329400510204,0.13685028765259055,0.16229353353850293,0.7646802785691675,0.3747532894736842
moderate_signal,high_memory,r20,18,18,896817,123266,91584,154551,31682,619000,0.3720884880248644,0.742978599127091,0.4958513918478835,0.3296558525936138,1.2538007236383106,0.257021400872909,0.17233281706301284,0.1997941958578038,0.27445398559572354,0.49557956747570775,0.4739937627186364,0.14161152742346939,0.13685028765259055,0.16229353353850293,0.7646802785691675,0.3747532894736842
moderate_signal,moderate_memory,r19,13,13,643057,85007,12232,4766,72775,553284,0.7196140722437934,0.14389403225616715,0.23983138081466596,0.1362547759348579,0.05606597103767925,0.8561059677438329,0.007411473632974993,0.008540453364393871,0.02643311557140347,0.0977011494252873,0.19983748028989964,0.00546077806122449,0.13117669758226608,0.014550041263845955,0.6562020600482138,0.49334134615384617
moderate_signal,moderate_memory,r20,13,13,643057,85007,63201,23549,21806,534501,0.7285417867435159,0.7434799487101063,0.7359350710596947,0.582197206971517,0.2770242450621713,0.25652005128989375,0.03662039290451702,0.042198727712570556,0.13490250475463295,0.7371940206740191,0.694182438444521,0.02477279974489796,0.13117669758226608,0.014550041263845955,0.6562020600482138,0.49334134615384617
moderate_signal,no_or_trace_memory,r19,35,35,1715633,204723,32684,6199,172039,1504711,0.8405730010544454,0.1596498683587091,0.26833493427912286,0.15495775689591412,0.03027993923496627,0.8403501316412909,0.0036132436249477597,0.004102825449563508,0.022663938033367276,0.0173418621179815,0.17496519784103698,0.0,0.11840354878821986,3.587372448979429e-05,0.5396214896214897,0.37577083333333333
moderate_signal,no_or_trace_memory,r20,35,35,1715633,204723,140444,39876,64279,1471034,0.7788598047914818,0.6860196460583324,0.7294977444077675,0.574180597631225,0.19478026406412569,0.3139803539416675,0.0232427331486396,0.026392041882044595,0.10510406363132442,0.6622327790973872,0.683706913070758,0.01118064413265306,0.11840354878821986,3.587372448979429e-05,0.5396214896214897,0.37577083333333333
no_or_trace_signal,high_memory,r19,3,3,150528,1,0,69837,1,80690,0.0,0.0,0.0,0.0,69837.0,1.0,0.4639469068877551,0.46394998903851137,0.4639469068877551,0.0,0.0,0.31246014030612246,6.64328231292517e-06,0.5244539221938775,0.7089268755935422,0.13861111111111113
no_or_trace_signal,high_memory,r20,3,3,150528,1,1,77916,0,72611,1.2834169693391686e-05,1.0,2.566800995918786e-05,1.2834169693391686e-05,77916.0,0.0,0.5176179846938775,0.5176214233991244,0.5176246279761905,0.0,1.3286299831928308e-05,0.3891501913265306,6.64328231292517e-06,0.5244539221938775,0.7089268755935422,0.13861111111111113
no_or_trace_signal,moderate_memory,r19,7,7,325803,1,0,952,1,324850,0.0,0.0,0.0,0.0,952.0,1.0,0.002922011153979552,0.002922020122651181,0.002922011153979552,0.0,0.0,0.0,2.8471209912536443e-06,0.018354525816937917,0.3669108669108669,0.6602091165413534
no_or_trace_signal,moderate_memory,r20,7,7,325803,1,1,6173,0,319629,0.00016196954972465177,1.0,0.00032388663967611336,0.00016196954972465177,6173.0,0.0,0.018947032409155226,0.018947090564207708,0.018950101748602684,0.0,0.0001583782071586857,0.015744579081632654,2.8471209912536443e-06,0.018354525816937917,0.3669108669108669,0.6602091165413534
