signal_level,memory_level,n_grids,r19_pooled_f1,r20_pooled_f1,delta_f1,r19_fp_rate_valid,r20_fp_rate_valid,delta_fp_rate,lambda_star,decision_rule
moderate_signal,high_memory,201,0.1549774285420817,0.4204892082465533,0.2655117797044716,0.1156999625519877,0.2118443379193462,0.0961443753673585,2.761594515435525,R20 if lambda < lambda_star; R19 if lambda > lambda_star
moderate_signal,moderate_memory,313,0.0613361152561173,0.7104419419176656,0.6491058266615483,0.0018912861238497,0.0265254351036606,0.0246341489798108,26.34983766614103,R20 if lambda < lambda_star; R19 if lambda > lambda_star
moderate_signal,no_or_trace_memory,1154,0.0356412714550556,0.7328299526186408,0.6971886811635851,0.0004206507243888,0.0206322960129439,0.020211645288555,34.494405141691935,R20 if lambda < lambda_star; R19 if lambda > lambda_star
no_or_trace_signal,high_memory,39,1.7734924944319727e-05,5.038422469924666e-05,3.2649299754926933e-05,0.3521956922673299,0.5785325474465359,0.226336855179206,0.00014425092073085626,R20 if lambda < lambda_star; R19 if lambda > lambda_star
no_or_trace_signal,moderate_memory,90,0.0063435263500325,0.0046530232406266,-0.0016905031094059,0.0054450704444681,0.0278193932171235,0.0223743227726554,-0.07555549844270303,R19 for any nonnegative lambda
no_or_trace_signal,no_or_trace_memory,2228,2.4171521113823696e-05,0.0009518068053535,0.0009276352842397,0.0014820151297553,0.0281698441058799,0.0266878289761246,0.034758739089252214,R20 if lambda < lambda_star; R19 if lambda > lambda_star
strong_signal,high_memory,139,0.4442047909359809,0.7427606573405675,0.2985558664045866,0.1202512254197602,0.2777123576844751,0.1574611322647149,1.8960607110500836,R20 if lambda < lambda_star; R19 if lambda > lambda_star
strong_signal,moderate_memory,113,0.3401230732534005,0.867093487557731,0.5269704143043304,0.0068598317008723,0.0813484229875251,0.0744885912866527,7.07451175007999,R20 if lambda < lambda_star; R19 if lambda > lambda_star
strong_signal,no_or_trace_memory,438,0.4092321570830861,0.9029750343022298,0.4937428772191436,0.0016643574557201,0.0684170563246154,0.0667526988688952,7.396597974096494,R20 if lambda < lambda_star; R19 if lambda > lambda_star
weak_signal,high_memory,298,0.0247500649666803,0.087738007065036,0.0629879420983557,0.0803399944540786,0.2090929651611475,0.1287529707070688,0.4892154468549093,R20 if lambda < lambda_star; R19 if lambda > lambda_star
weak_signal,moderate_memory,411,0.0226884110880686,0.3860774408220438,0.3633890297339752,0.0023314788859014,0.0208040034296882,0.0184725245437868,19.671866120551478,R20 if lambda < lambda_star; R19 if lambda > lambda_star
weak_signal,no_or_trace_memory,1679,0.0102193855145569,0.4635755981475178,0.4533562126329609,0.000453425062862,0.0117472892702758,0.0112938642074138,40.141815441286916,R20 if lambda < lambda_star; R19 if lambda > lambda_star
