model,event,aoi,region,aoi_name,threshold,tp,fp,fn,tn,precision,recall,f1,iou
r19,1111002,01,Cameroon,Djagala,0.05,113945,260919,2865,1043533,0.30396357078833924,0.9754729903261707,0.46349817155269546,0.30165806702688963
r19,1111002,01,Cameroon,Djagala,0.1,104174,206483,12636,1097969,0.33533446856179,0.8918243301087235,0.4874013666552038,0.32222782429560803
r19,1111002,01,Cameroon,Djagala,0.15,95746,174025,21064,1130427,0.35491583602388693,0.819672973204349,0.4953476761661851,0.3292107208554679
r19,1111002,01,Cameroon,Djagala,0.2,88336,151202,28474,1153250,0.3687765615476459,0.7562366235767486,0.49578501913859485,0.3295971822157217
r19,1111002,01,Cameroon,Djagala,0.25,81460,133524,35350,1170928,0.3789119190265322,0.6973718003595583,0.4910275652965395,0.3254052585745444
r19,1111002,01,Cameroon,Djagala,0.3,75163,117970,41647,1186482,0.389177406243366,0.6434637445424193,0.48501176022688036,0.32014226083993524
r19,1111002,01,Cameroon,Djagala,0.35,69327,103781,47483,1200671,0.4004840908565751,0.5935022686413834,0.47825247138846155,0.31427846104328827
r19,1111002,01,Cameroon,Djagala,0.4,63999,90181,52811,1214271,0.41509274873524454,0.5478897354678538,0.47233477250083034,0.30918735597199876
r19,1111002,01,Cameroon,Djagala,0.45,58608,77139,58202,1227313,0.431744347941391,0.5017378649088263,0.4641170112093508,0.30218253252143606
r19,1111002,01,Cameroon,Djagala,0.5,53441,62293,63369,1242159,0.4617571327354105,0.4575036383871244,0.4596205449291317,0.29838137831303774
r19,1111002,01,Cameroon,Djagala,0.55,48966,55564,67844,1248888,0.46843968238783124,0.4191935621950176,0.44245052859853623,0.28406836297817534
r19,1111002,01,Cameroon,Djagala,0.6,44499,49737,72311,1254715,0.4722080733477652,0.38095197328995806,0.4216995346985965,0.2671858394327127
r19,1111002,01,Cameroon,Djagala,0.65,40136,44639,76674,1259813,0.4734414626953701,0.343600719116514,0.3982042314656349,0.24859862866911533
r19,1111002,01,Cameroon,Djagala,0.7,35805,39929,81005,1264523,0.4727731269971215,0.3065234140912593,0.37191499085923224,0.22843708330409151
r19,1111002,01,Cameroon,Djagala,0.75,31397,35200,85413,1269252,0.471447662807634,0.26878691892817397,0.3423751547105618,0.20654562199855273
r19,1111002,01,Cameroon,Djagala,0.8,26622,30559,90188,1273893,0.46557422920200764,0.2279085694717918,0.3060158284049175,0.18064857602345133
r19,1111002,01,Cameroon,Djagala,0.85,21202,26038,95608,1278414,0.4488145639288738,0.1815084324972177,0.2584821700701006,0.14842349910394265
r19,1111002,01,Cameroon,Djagala,0.9,15782,21321,101028,1283131,0.4253564401800394,0.1351082955226436,0.20507689408951812,0.11425386046578972
r19,1111002,01,Cameroon,Djagala,0.95,9889,15697,106921,1288755,0.3865004299226139,0.08465884770139542,0.13889435096491476,0.07463001954613718
r19,1111003,01,Djibouti,Djibouti,0.05,6845,539550,116,268979,0.012527567053139212,0.9833357276253412,0.024739950411669882,0.012524908007341115
r19,1111003,01,Djibouti,Djibouti,0.1,6556,484447,405,324082,0.013352260576819286,0.9418187042091654,0.026331220730815882,0.013341256145606096
r19,1111003,01,Djibouti,Djibouti,0.15,6075,441021,886,367508,0.013587685866122712,0.8727194368625197,0.026758754958077953,0.013560812711225004
r19,1111003,01,Djibouti,Djibouti,0.2,5500,406499,1461,402030,0.013349546964919818,0.7901163625915817,0.02625548978422761,0.013302375078604944
r19,1111003,01,Djibouti,Djibouti,0.25,5076,374751,1885,433778,0.013363978864061796,0.7292055739117943,0.026246936306193576,0.013297983820262397
r19,1111003,01,Djibouti,Djibouti,0.3,4706,344834,2255,463695,0.01346340905189678,0.6760522913374515,0.026401047963399822,0.013377108827584246
r19,1111003,01,Djibouti,Djibouti,0.35,4367,315396,2594,493133,0.01365698970800249,0.6273523918977159,0.02673204294756431,0.013547092199021582
r19,1111003,01,Djibouti,Djibouti,0.4,3971,283974,2990,524555,0.013790828109534806,0.570464013791122,0.026930615179074007,0.013649096877309365
r19,1111003,01,Djibouti,Djibouti,0.45,3573,246827,3388,561702,0.014269169329073482,0.5132883206435856,0.027766444799328566,0.014078679843018582
r19,1111003,01,Djibouti,Djibouti,0.5,3178,189639,3783,618890,0.016481949205723562,0.45654360005746303,0.03181531499964961,0.016164801627670398
r19,1111003,01,Djibouti,Djibouti,0.55,2886,162468,4075,646061,0.017453463478355528,0.41459560407987356,0.03349679366276877,0.017033683725926493
r19,1111003,01,Djibouti,Djibouti,0.6,2553,141144,4408,667385,0.017766550449905008,0.3667576497629651,0.03389133003225849,0.017237770500658316
r19,1111003,01,Djibouti,Djibouti,0.65,2248,123985,4713,684544,0.017808338548557033,0.3229421060192501,0.03375527426160338,0.017167381974248927
r19,1111003,01,Djibouti,Djibouti,0.7,1922,109402,5039,699127,0.01726492041248967,0.27610975434564,0.032497780783700386,0.016517277828863128
