threshold,pooled_f1_winner,event_median_f1_winner,event_q10_f1_winner,rank_reversal_pooled_vs_event_median,rank_reversal_pooled_vs_q10,r19_pooled_f1,r20_pooled_f1,r20_minus_r19_pooled_f1,r19_event_median_f1,r20_event_median_f1,r20_minus_r19_event_median_f1,r19_event_q10_f1,r20_event_q10_f1,r20_minus_r19_event_q10_f1,r19_pass_rate_f1_ge_050,r20_pass_rate_f1_ge_050,r19_fp_per_flood,r20_fp_per_flood,r20_minus_r19_fp_per_flood
0.05,r19,r19,r19,False,False,0.32108783004798086,0.22021231995536908,-0.10087551009261178,0.3469870648946624,0.19005525572515136,-0.15693180916951105,0.0553989998435178,0.04963473179831252,-0.00576426804520528,0.14285714285714285,0.07142857142857142,4.163014842580989,7.078672917464576,2.915658074883587
0.1,r19,r19,r19,False,False,0.3758380758163517,0.2579482187191106,-0.11788985709724109,0.4516746852751298,0.24583576888552822,-0.20583891638960156,0.06732976626445852,0.05213593240997052,-0.015193833854488005,0.35714285714285715,0.07142857142857142,3.03851321112678,5.745627617611919,2.7071144064851387
0.15,r19,r19,r19,False,False,0.4311894997770746,0.28073170432451755,-0.15045779545255705,0.5092475283922545,0.28004207472433285,-0.22920545366792167,0.08396485254761932,0.053893589693271335,-0.030071262854347983,0.5,0.07142857142857142,2.24153430664035,5.112438743483924,2.870904436843574
0.2,r19,r19,r19,False,False,0.4744807429762835,0.2973518105892927,-0.1771289323869908,0.4919856524979691,0.30912019820920744,-0.18286545428876166,0.10135735046073463,0.05526689787315028,-0.04609045258758435,0.42857142857142855,0.07142857142857142,1.751897734951109,4.710588141712274,2.9586904067611655
0.25,r19,r19,r19,False,False,0.506422473458039,0.3109925149907059,-0.19542995846733313,0.4877835086517964,0.3325362962975267,-0.15524721235426975,0.11753256358388289,0.056436801638420436,-0.06109576194546246,0.42857142857142855,0.07142857142857142,1.435509849570805,4.411948166940115,2.97643831736931
0.3,r19,r19,r19,False,False,0.529662556376796,0.3233445213100258,-0.20631803506677027,0.5061904403767514,0.3550214149067362,-0.1511690254700152,0.12759634148813565,0.05751299025861838,-0.07008335122951727,0.5,0.07142857142857142,1.2157698620634856,4.162628277200345,2.9468584151368598
0.35,r19,r19,r19,False,False,0.5474906371585015,0.33512060385681325,-0.2123700333016883,0.5209204356124064,0.370492125165791,-0.15042831044661542,0.12911582102058722,0.05855214803651392,-0.07056367298407329,0.5714285714285714,0.14285714285714285,1.0491466116554788,3.9413738747458673,2.8922272630903887
0.4,r19,r19,r19,False,False,0.5619435959264142,0.34651675680467653,-0.21542683912173766,0.535376484035134,0.39561122116362096,-0.13976526287151309,0.11432522307123874,0.05961536859324752,-0.05470985447799122,0.5714285714285714,0.14285714285714285,0.9144394291196273,3.740797713938317,2.82635828481869
0.45,r19,r19,r19,False,False,0.5744520763016258,0.3576116774750586,-0.21684039882656714,0.5376066465094316,0.4228051632640977,-0.11480148324533385,0.10121030910131351,0.06072146776117192,-0.04048884134014159,0.5714285714285714,0.21428571428571427,0.7990878169292499,3.556891151086761,2.7578033341575114
0.5,r19,r19,r19,False,False,0.5886866310122412,0.368583787826997,-0.22010284318524415,0.535597202847601,0.44498455286845484,-0.0906126499791462,0.09094891103434677,0.062002317750004886,-0.028946593284341883,0.5714285714285714,0.2857142857142857,0.684633138132744,3.384755518698012,2.7001223805652677
0.55,r19,r19,r19,False,False,0.5920984715152076,0.37972654655448357,-0.212371924960724,0.5258155392117196,0.4675685866743333,-0.05824695253738632,0.07988325017262665,0.06430537074590785,-0.015577879426718802,0.5714285714285714,0.42857142857142855,0.6208737166703717,3.218682220233399,2.5978085035630274
0.6,r19,r19,r19,False,False,0.593405062233054,0.3913783272811178,-0.20202673495193618,0.5150481868184891,0.49082668764764426,-0.024221499170844818,0.06870123534970693,0.06722540559797466,-0.0014758297517322716,0.5714285714285714,0.5,0.5679151170251113,3.053390131894736,2.4854750148696247
0.65,r19,r20,r20,True,True,0.5935718095467152,0.40384015130825535,-0.18973165823845983,0.5034217543144741,0.5150242870690146,0.011602532754540484,0.061562446348880764,0.07099108093452706,0.0094286345856463,0.5714285714285714,0.5,0.5206658227216785,2.8847677145733157,2.364101891851637
0.7,r19,r20,r20,True,True,0.5928076054400075,0.41731064257608175,-0.1754969628639258,0.49061860686540204,0.5401840039703301,0.04956539710492802,0.05516959236825676,0.07535088432772749,0.02018129195947073,0.42857142857142855,0.5714285714285714,0.47683803526168816,2.710179722393724,2.233341687132036
0.75,r19,r20,r20,True,True,0.5910385087155026,0.4318641954688479,-0.15917431324665465,0.47627561346701724,0.5654138262810338,0.08913821281401652,0.04930864881868045,0.08025093903643928,0.030942290217758822,0.42857142857142855,0.5714285714285714,0.43456619464853913,2.5278122933798524,2.093246098731313
0.8,r19,r20,r20,True,True,0.5877063229182623,0.4474692718655072,-0.14023705105275508,0.45940719721167933,0.5889203909138494,0.12951319370217007,0.04293294211981433,0.08529840941571046,0.04236546729589613,0.35714285714285715,0.5714285714285714,0.39222368685627695,2.334945363197355,1.9427216763410782
0.85,r19,r20,r20,True,True,0.5815396741136193,0.4638663183635589,-0.11767335575006038,0.4382605244997868,0.6074874537592555,0.1692269292594687,0.03650695823937654,0.08853224795873642,0.05202528971935988,0.35714285714285715,0.5714285714285714,0.3478649066981834,2.126441804135611,1.7785768974374274
0.9,r19,r20,r20,True,True,0.5692527265398074,0.4807160846064941,-0.08853664193331329,0.40817704844677916,0.5988625463652022,0.19068549791842304,0.027918975404633617,0.08648152813225385,0.05856255272762023,0.2857142857142857,0.6428571428571429,0.297525790732252,1.8855345801094954,1.5880087893772434
0.95,r19,r20,r20,True,True,0.5366131199961824,0.5002140155342664,-0.036399104461916076,0.3523120947155269,0.5673468500132735,0.21503475529774657,0.0037054159722214393,0.07987388817288188,0.07616847220066043,0.2857142857142857,0.5714285714285714,0.23064812113110889,1.5130268429158422,1.2823787217847333
