control_family,control_column,control_bin,n_grids,valid_pixels,flood_pixels,r19_f1,r20_f1,r20_minus_r19_f1,r19_fp_rate_valid,r20_fp_rate_valid,r20_minus_r19_fp_rate,lambda_star,f1_winner,low_fp_winner,f1_decision_switch_from_global,low_fp_decision_switch_from_global,f1_loss_if_using_global_winner,fp_rate_penalty_if_using_global_low_fp_winner
joint_hydro_memory,official_hydro_memory_regime,far_2_10km__dry_or_trace,9514,473443146,20626178,0.5036658126127689,0.3015139125662491,-0.20215190004651978,0.013158758454177728,0.18252414409226658,0.16936538563808887,-1.1935845053870175,r19,r19,False,False,0.0,0.0
joint_hydro_memory,official_hydro_memory_regime,far_2_10km__low,1497,74720993,19349389,0.7127718307077089,0.7320076828509485,0.01923585214323964,0.053097166414798586,0.17747676345789462,0.12437959704309604,0.1546544015299764,r20,r19,True,False,0.01923585214323964,0.0
joint_hydro_memory,official_hydro_memory_regime,far_2_10km__missing_jrc_water_memory,188,9022935,834380,0.6452272349065347,0.30551508429532537,-0.3397121506112093,0.01534788846423032,0.4155717624032535,0.4002238739390232,-0.8488053130557792,r19,r19,False,False,0.0,0.0
joint_hydro_memory,official_hydro_memory_regime,far_2_10km__moderate,94,3370216,426469,0.31207122023752787,0.3934257265381996,0.08135450630067176,0.2018645095744605,0.3655673701626246,0.16370286058816408,0.4969644758092504,r20,r19,True,False,0.08135450630067176,0.0
joint_hydro_memory,official_hydro_memory_regime,mid_0_5_2km__dry_or_trace,13961,695707425,33526446,0.4622862011818879,0.27448160694140616,-0.18780459424048174,0.019437137673210834,0.23072367094544088,0.21128653327223004,-0.8888621121844371,r19,r19,False,False,0.0,0.0
joint_hydro_memory,official_hydro_memory_regime,mid_0_5_2km__high,25,1253134,54947,0.11721065612015909,0.08520743511052023,-0.03200322100963886,0.6323665306343934,0.9399784859400511,0.30761195530565766,-0.10403763721679464,r19,r19,False,False,0.0,0.0
joint_hydro_memory,official_hydro_memory_regime,mid_0_5_2km__low,3930,196004125,52448086,0.675647235975637,0.7043686871600824,0.028721451184445357,0.07173818408158501,0.2124586765712201,0.14072049248963509,0.20410283304374355,r20,r19,True,False,0.028721451184445357,0.0
joint_hydro_memory,official_hydro_memory_regime,mid_0_5_2km__missing_jrc_water_memory,1540,75537052,9880166,0.5653361756302221,0.5985134940310967,0.03317731840087457,0.028024035145030546,0.1577303811115107,0.12970634596648015,0.2557879350748848,r20,r19,True,False,0.03317731840087457,0.0
joint_hydro_memory,official_hydro_memory_regime,mid_0_5_2km__moderate,265,12743669,2684120,0.40407327698121914,0.43848197658408267,0.034408699602863524,0.33199473401263013,0.5202273379824915,0.1882326039698614,0.1827988290932469,r20,r19,True,False,0.034408699602863524,0.0
joint_hydro_memory,official_hydro_memory_regime,missing_hydrorivers__dry_or_trace,3206,159032386,5089939,0.62022135483701,0.4402292614874006,-0.17999209334960942,0.003890232773090633,0.07171265732000022,0.0678224245469096,-2.653872882782557,r19,r19,False,False,0.0,0.0
joint_hydro_memory,official_hydro_memory_regime,missing_hydrorivers__high,1,48820,0,0.0,0.0,0.0,0.6968455551003687,0.8615526423596886,0.16470708725931993,0.0,r19,r19,False,False,0.0,0.0
joint_hydro_memory,official_hydro_memory_regime,missing_hydrorivers__low,531,26319862,6316705,0.6825492023676516,0.7154687168336189,0.0329195144659673,0.08353710213222243,0.17742813393170526,0.09389103179948283,0.35061404518667383,r20,r19,True,False,0.0329195144659673,0.0
joint_hydro_memory,official_hydro_memory_regime,missing_hydrorivers__moderate,35,1429984,231136,0.37685451094571365,0.40458316728955523,0.027728656343841585,0.2952704365922975,0.45989465616398506,0.16462421957168755,0.1684360686172718,r20,r19,True,False,0.027728656343841585,0.0
joint_hydro_memory,official_hydro_memory_regime,near_0_500m__dry_or_trace,5277,263021354,14415111,0.4492972943931301,0.2839539803901539,-0.1653433140029762,0.021569530054202368,0.2499506903154335,0.22838116026123112,-0.7239796567013241,r19,r19,False,False,0.0,0.0
joint_hydro_memory,official_hydro_memory_regime,near_0_500m__high,31,1552816,95834,0.12495760143682474,0.11726539629868801,-0.007692205138136732,0.8069236793026346,0.9277628514904535,0.12083917218781881,-0.0636565527458334,r19,r19,False,False,0.0,0.0
joint_hydro_memory,official_hydro_memory_regime,near_0_500m__low,1982,98816606,25944897,0.6569183363189796,0.6889310586346501,0.03201272231567054,0.08097447710357508,0.22493947019390648,0.1439649930903314,0.22236462926500494,r20,r19,True,False,0.03201272231567054,0.0
joint_hydro_memory,official_hydro_memory_regime,near_0_500m__missing_jrc_water_memory,838,41318880,6911787,0.5076218846629862,0.6859164877370881,0.17829460307410194,0.04160103081206461,0.13416542268328668,0.09256439187122208,1.9261683620430403,r20,r19,True,False,0.17829460307410194,0.0
joint_hydro_memory,official_hydro_memory_regime,near_0_500m__moderate,298,14853915,2875450,0.3716099646832254,0.4147208437975898,0.0431108791143644,0.3004053813422253,0.5312675479831411,0.23086216664091586,0.1867386057301423,r20,r19,True,False,0.0431108791143644,0.0
