signal_bin,memory_bin,n_grids,valid_pixels,flood_pixels,unet_f1,aspp_f1,delta_f1_aspp_minus_unet,unet_fp_rate,aspp_fp_rate,delta_fp_rate_aspp_minus_unet,delta_fn_rate_aspp_minus_unet,cost_ratio_star_cfp_over_cfn,f1_winner,low_fp_winner
trace,trace,20813,1031124605,12691,9.224092808296813e-06,5.320849494235396e-05,4.3984402134057144e-05,0.0222771262450865,0.2606224657009324,0.23834533945584588,-6.831376116759429e-06,2.866167273232947e-05,ASPP,UNet
weak,trace,4544,226918644,3771277,0.0667900464094633,0.1720439531023439,0.10525390669288061,0.0051197952690039,0.1116980101467555,0.10657821487775151,-0.011325949048064997,0.10626889426752181,ASPP,UNet
moderate,trace,2927,146355535,17568419,0.2198999440618676,0.5446314382889975,0.3247314942271299,0.0106819533678722,0.1419025799058436,0.1312206265379714,-0.08187620645847114,0.6239583563852179,ASPP,UNet
strong,trace,2067,103394444,62210639,0.72253467533837,0.8589642373135816,0.1364295619752116,0.0464892484938552,0.1765336443029762,0.13004439580912103,-0.21922994237485333,1.6858084580333528,ASPP,UNet
trace,moderate,2342,116691030,5333,0.001550436510977,0.0018319614217186,0.0002815249107416,0.0018541956481145,0.0269768464636913,0.025122650815576828,-2.330084840282925e-05,0.0009274836709660429,ASPP,UNet
weak,moderate,2242,111815471,1983889,0.127613612955663,0.2716896543638872,0.1440760414082242,0.0054663008127023,0.0715812036422044,0.06611490282950201,-0.01245984108943207,0.18845737581379607,ASPP,UNet
moderate,moderate,1886,94311845,11873930,0.3639683567776413,0.5737993597399677,0.20983100296232637,0.0171583325509112,0.1563416769123751,0.13918334436146382,-0.08172742246745358,0.5871925469415703,ASPP,UNet
strong,moderate,1705,85320391,49599263,0.7764966435250552,0.8443491755923062,0.06785253206725095,0.0514170991082307,0.2047553673306537,0.15333826822242294,-0.17276172585753855,1.1266706469316659,ASPP,UNet
trace,high,537,26580911,1637,0.0001395744309137,0.0003217619097775,0.00018218747886380004,0.0791778355527393,0.2213526842627779,0.14217484871003858,-3.009678637425181e-05,0.00021168854159031545,ASPP,UNet
weak,high,980,47315775,930695,0.0554621490171896,0.1095865024265373,0.054124353409347695,0.0699027755542417,0.2383873454466296,0.1684845698923879,-0.012404678989195464,0.07362501502136609,ASPP,UNet
moderate,high,1445,72083277,9758341,0.2973446974657346,0.4233781378367935,0.1260334403710589,0.1499755068016677,0.3261199265399657,0.17614441973829797,-0.07409518854144215,0.4206502178810272,ASPP,UNet
strong,high,1748,87080660,44032423,0.6602567579248663,0.7451927177029358,0.08493595977806956,0.1908951769543317,0.3352035457700941,0.1443083688157623,-0.1560842786446497,1.0816024041122771,ASPP,UNet
