model,event,aoi,region,aoi_name,threshold,tp,fp,fn,tn,precision,recall,f1,iou
r19,147,01,unknown,unknown,0.1,188999,2486801,56272,19791327,0.07063270797518499,0.7705721426503744,0.12940390699164794,0.06917789867909777
r19,147,01,unknown,unknown,0.2,129920,468147,115351,21809981,0.2172331862483635,0.5296998014441169,0.30810896698595347,0.18210922628809478
r19,147,01,unknown,unknown,0.3,97590,218320,147681,22059808,0.3089170966414485,0.39788641951147913,0.34780222423781276,0.21050883213867397
r19,147,01,unknown,unknown,0.4,71408,135363,173863,22142765,0.3453482354875684,0.29113918889717905,0.3159352449551148,0.1876027890309326
r19,147,01,unknown,unknown,0.5,49941,90103,195330,22188025,0.3566093513467196,0.20361559254865028,0.25922167577177113,0.1489113646257611
r19,147,01,unknown,unknown,0.55,41043,78853,204228,22199275,0.3423216787882832,0.1673373533764693,0.22479030142373216,0.1266274635633276
r19,147,01,unknown,unknown,0.6,33648,69764,211623,22208364,0.32537809925347155,0.13718702985677067,0.19300051909614174,0.106807180154586
r19,147,01,unknown,unknown,0.65,27658,61795,217613,22216333,0.30919030105194906,0.11276506394967199,0.16525854136542342,0.09007184123282942
r19,147,01,unknown,unknown,0.7,22858,55033,222413,22223095,0.29346137551193335,0.0931948742411455,0.1414646524034385,0.0761162022483883
r19,147,01,unknown,unknown,0.75,19012,49517,226259,22228611,0.27742999314158967,0.07751425973718866,0.1211727214786488,0.06449380571800752
r19,147,01,unknown,unknown,0.78,16857,46520,228414,22231608,0.2659797718415198,0.06872805998263146,0.10923122780643323,0.05777080170395934
r19,147,01,unknown,unknown,0.8,15426,44561,229845,22233567,0.2571557170720323,0.062893697175777,0.10106860426262375,0.05322393662535538
r19,147,01,unknown,unknown,0.82,13952,42661,231319,22235467,0.24644516277180153,0.05688401808611699,0.09243285500390878,0.04845588541739022
r19,147,01,unknown,unknown,0.83,13193,41718,232078,22236410,0.24026151408643076,0.053789481838456235,0.08790000732888714,0.04597040304680667
r19,147,01,unknown,unknown,0.85,11706,39770,233565,22238358,0.22740694692672314,0.04772680015166897,0.07889549009762525,0.04106777621464982
r19,147,01,unknown,unknown,0.88,9308,36693,235963,22241435,0.20234342731679747,0.037949859543117616,0.06391276882089594,0.03301130640791023
r19,147,01,unknown,unknown,0.9,7774,34288,237497,22243840,0.18482240502115924,0.03169555308210102,0.05411143168379545,0.02780808344571271
r19,147,01,unknown,unknown,0.92,6187,31423,239084,22246705,0.1645041212443499,0.025225159109719453,0.04374277523057398,0.022360441498550744
r19,147,01,unknown,unknown,0.95,3637,25279,241634,22252849,0.1257781159219809,0.014828495827064758,0.026529339465401355,0.013442986508963223
r19,147,02,unknown,unknown,0.1,88448,4928253,32138,23274107,0.017630709902782725,0.733484815816098,0.034433739053317446,0.017518482962122578
r19,147,02,unknown,unknown,0.2,63450,1927114,57136,26275246,0.031875388080965995,0.5261804852968006,0.06010941903701773,0.03098598427504029
r19,147,02,unknown,unknown,0.3,50772,1270873,69814,26931487,0.03841576217516807,0.42104390227721294,0.07040758380592291,0.036488319095280566
r19,147,02,unknown,unknown,0.4,41559,935169,79027,27267191,0.042549205101113104,0.34464199824191866,0.07574677804165444,0.03936424643975165
r19,147,02,unknown,unknown,0.5,33096,713799,87490,27488561,0.04431144940051814,0.2744597216924021,0.07630368849577109,0.039665142590051355
r19,147,02,unknown,unknown,0.55,29182,633124,91404,27569236,0.04406120433757206,0.24200155905328977,0.07454923539900778,0.03871780923697443
r19,147,02,unknown,unknown,0.6,25213,561721,95373,27640639,0.042957129762460515,0.20908729039855373,0.07127148349163274,0.03695257413451716
r19,147,02,unknown,unknown,0.65,21227,499411,99359,27702949,0.04077113080489707,0.17603204352080673,0.06620775267301286,0.03423726243836664
r19,147,02,unknown,unknown,0.7,17434,445420,103152,27756940,0.03766630514157812,0.14457731411606653,0.059762786233374464,0.030801793620562325
r19,147,02,unknown,unknown,0.75,13928,397483,106658,27804877,0.03385422363524553,0.11550262882921732,0.052361197525549956,0.026884449754762396
r19,147,02,unknown,unknown,0.78,11974,371260,108612,27831100,0.031244618170621605,0.09929842601960427,0.04753284903338494,0.024345018562720852
r19,147,02,unknown,unknown,0.8,10718,354501,109868,27847859,0.02934677549634603,0.0888826231900884,0.044124700239808155,0.022560078469838155
r19,147,02,unknown,unknown,0.82,9608,337762,110978,27864598,0.027659268215447504,0.07967757451113729,0.04106368974860884,0.020962238299283512
r19,147,02,unknown,unknown,0.83,9050,329232,111536,27873128,0.026752827522599488,0.07505017166171861,0.0394448948281423,0.020119248229283845
r19,147,02,unknown,unknown,0.85,7985,311151,112601,27891209,0.02502068083826331,0.06621830063191415,0.03631840117164936,0.018495056017899785
r19,147,02,unknown,unknown,0.88,6558,281282,114028,27921078,0.02278349082823791,0.05438442273564095,0.03211352852169058,0.01631879124488638
r19,147,02,unknown,unknown,0.9,5642,258403,114944,27943957,0.021367569921793634,0.046788184366344354,0.029337208909318284,0.014886975611429355
r19,147,02,unknown,unknown,0.92,4718,231468,115868,27970892,0.01997578179909055,0.03912560330386612,0.026448263877210096,0.013401353201497497
r19,147,02,unknown,unknown,0.95,3216,177007,117370,28025353,0.017844559240496497,0.026669762659015144,0.02138233895927316,0.010806705802891869
r19,147,03,unknown,unknown,0.1,223971,5847784,95578,40797403,0.03688735793852024,0.7008972019940604,0.07008616707951928,0.03631569756327411
r19,147,03,unknown,unknown,0.2,150378,1459805,169171,45185382,0.09339186912295062,0.47059449411514354,0.15585376622245992,0.08451269393274188
r19,147,03,unknown,unknown,0.3,113137,916029,206412,45729158,0.10993075946931788,0.35405211720268254,0.1677700626151559,0.09156605248717604
r19,147,03,unknown,unknown,0.4,86226,702290,233323,45942897,0.1093522515713061,0.26983655088890907,0.15563346915569032,0.08438315625064223
r19,147,03,unknown,unknown,0.5,62051,577396,257498,46067791,0.09703853485902662,0.194183051738544,0.12940825613454068,0.06918038452747939
r19,147,03,unknown,unknown,0.55,50648,534882,268901,46110305,0.08649941079022425,0.15849838365947005,0.11191951199840014,0.05927687548789779
r19,147,03,unknown,unknown,0.6,40721,497901,278828,46147286,0.07560218483463356,0.12743272549749804,0.09490183191927949,0.04981466756376537
r19,147,03,unknown,unknown,0.65,32241,466552,287308,46178635,0.06463803621943372,0.10089532434775261,0.07879590684579309,0.041013813746579635
r19,147,03,unknown,unknown,0.7,25487,440849,294062,46204338,0.05465372606875729,0.07975928574334452,0.06486190727650992,0.03351797348230795
r19,147,03,unknown,unknown,0.75,19931,418208,299618,46226979,0.04549012984463834,0.06237228093344057,0.052610045295688995,0.027015670471442495
r19,147,03,unknown,unknown,0.78,16929,405276,302620,46239911,0.040096635520659396,0.05297779057358965,0.045645861026701574,0.0233559824785293
r19,147,03,unknown,unknown,0.8,15141,396635,304408,46248552,0.03676999145166304,0.04738240457644993,0.041407035175879396,0.021141215106732347
r19,147,03,unknown,unknown,0.82,13431,387613,306118,46257574,0.03349009086284797,0.042031112599319666,0.03727763106219461,0.01899281918428875
r19,147,03,unknown,unknown,0.83,12640,382740,306909,46262447,0.03196924477717639,0.0395557488835828,0.03536015464472696,0.017998288453898607
r19,147,03,unknown,unknown,0.85,11174,372190,308375,46272997,0.029147233438716207,0.034968033071610304,0.03179340828808117,0.016153491418005924
r19,147,03,unknown,unknown,0.88,9087,353384,310462,46291803,0.02506959177423849,0.02843695333110102,0.02664731239553092,0.013503573164044562
r19,147,03,unknown,unknown,0.9,7548,338120,312001,46307067,0.021835981346262887,0.023620790551683778,0.02269334668236079,0.01147689795322571
r19,147,03,unknown,unknown,0.92,5911,318066,313638,46327121,0.01824512233893147,0.018497945541998254,0.018370664122350923,0.009270484540043757
r19,147,03,unknown,unknown,0.95,3477,257046,316072,46388141,0.013346230467175643,0.010880960353498212,0.011988166986167234,0.006030229190332903
r20,147,01,unknown,unknown,0.1,245065,8405435,206,13872693,0.028329576325067916,0.9991601126916757,0.055096966862119096,0.02832890171044999
r20,147,01,unknown,unknown,0.2,244160,5484679,1111,16793449,0.042619455704724814,0.9954703165070473,0.08173937205709302,0.04261119206973883
r20,147,01,unknown,unknown,0.3,243050,4246283,2221,18031845,0.0541394456592995,0.9909447101369505,0.10266962136643318,0.05411267458879488
r20,147,01,unknown,unknown,0.4,240902,3406588,4369,18871540,0.0660459658559722,0.982187050242385,0.1237692218967463,0.06596694998355632
r20,147,01,unknown,unknown,0.5,237252,2766040,8019,19512088,0.078997313614527,0.9673055518181929,0.14606581433082874,0.07878694694769155
r20,147,01,unknown,unknown,0.55,234213,2490368,11058,19787760,0.08596294255887418,0.9549151754589821,0.1577270517184021,0.08561546315138803
r20,147,01,unknown,unknown,0.6,230672,2229639,14599,20048489,0.09375725264001177,0.9404780834260879,0.1705156228863143,0.09320419732434715
r20,147,01,unknown,unknown,0.65,226797,1984664,18474,20293464,0.10255527906664418,0.9246792323593087,0.18463308167109804,0.10170565509757011
r20,147,01,unknown,unknown,0.7,222869,1747785,22402,20530343,0.11309392719371336,0.9086642937811645,0.20115211480532963,0.11182274858308046
r20,147,01,unknown,unknown,0.75,218181,1514685,27090,20763443,0.12590760047228117,0.8895507418325036,0.22059240588493112,0.12396957651214008
r20,147,01,unknown,unknown,0.78,214607,1368249,30664,20909879,0.1355821376044315,0.8749791047453633,0.2347834696385973,0.13300547870494323
r20,147,01,unknown,unknown,0.8,211815,1267080,33456,21011048,0.14322517825809133,0.8635957777315704,0.2457013999812083,0.14005677253494725
r20,147,01,unknown,unknown,0.82,208582,1162145,36689,21115983,0.15216888556218708,0.8504144395383066,0.2581463590920286,0.14820209518720834
r20,147,01,unknown,unknown,0.83,206783,1108822,38488,21169306,0.1571771162316957,0.8430796955204651,0.264957626358532,0.15270959970991652
r20,147,01,unknown,unknown,0.85,202612,998253,42659,21279875,0.16872171309847486,0.8260740160883268,0.280211543036063,0.1629337270531168
r20,147,01,unknown,unknown,0.88,194107,826460,51164,21451668,0.19019525420673017,0.7913980861985315,0.3066853736418088,0.18111541049013233
r20,147,01,unknown,unknown,0.9,186257,712538,59014,21565590,0.20722967973787126,0.7593926717793787,0.32560534095060945,0.19446152625419055
r20,147,01,unknown,unknown,0.92,174169,594265,71102,21683863,0.22665446869867809,0.7101084106967396,0.3436285704420911,0.20745864382230184
r20,147,01,unknown,unknown,0.95,144704,410399,100567,21867729,0.2606795495610725,0.5899759857463786,0.3615909562279635,0.22069638690194762
r20,147,02,unknown,unknown,0.1,119866,18337414,720,9864946,0.006494239671284176,0.9940291576136533,0.01290417317037382,0.006493986347383248
r20,147,02,unknown,unknown,0.2,118528,14826812,2058,13375548,0.007930766379353029,0.9829333421790257,0.01573457881048931,0.007929674449024506
r20,147,02,unknown,unknown,0.3,117211,12902348,3375,15300012,0.009002685882064055,0.972011676314,0.01784013798934487,0.009000352762288437
r20,147,02,unknown,unknown,0.4,115523,11453231,5063,16749129,0.009985777206430355,0.9580133680526761,0.019765529961486276,0.009981408899069339
r20,147,02,unknown,unknown,0.5,113310,10261996,7276,17940364,0.010921123675773997,0.9396613205513078,0.02159130448369705,0.010913470271653044
r20,147,02,unknown,unknown,0.55,111518,9722549,9068,18479811,0.011339967482426142,0.9248005572786228,0.022405200864359612,0.01132952052369494
r20,147,02,unknown,unknown,0.6,109454,9192888,11132,19009472,0.01176628423250833,0.9076841424377623,0.02323142021248597,0.011752220492589553
r20,147,02,unknown,unknown,0.65,107041,8670041,13545,19532319,0.012195510991010452,0.8876735276068533,0.02406046168501679,0.012176719590081573
r20,147,02,unknown,unknown,0.7,104265,8150194,16321,20052166,0.012631354762316948,0.8646526130728277,0.02489897069209777,0.01260642889787904
r20,147,02,unknown,unknown,0.75,100705,7623431,19881,20578929,0.013037704152283182,0.8351301146070025,0.025674587321258803,0.013004232816121142
r20,147,02,unknown,unknown,0.78,97949,7294671,22637,20907689,0.01324956510682275,0.812275056805931,0.02607382254659329,0.01320911736437456
r20,147,02,unknown,unknown,0.8,95972,7066786,24614,21135574,0.013398749476109622,0.7958801187534208,0.026353828680891634,0.013352863884045517
r20,147,02,unknown,unknown,0.82,93863,6825879,26723,21376481,0.013564523070368808,0.7783905262634137,0.02666438268217049,0.013512340449422835
r20,147,02,unknown,unknown,0.83,92665,6697786,27921,21504574,0.013646368996698452,0.7684557079594646,0.026816525508400548,0.013590487582666361
r20,147,02,unknown,unknown,0.85,90077,6428101,30509,21774259,0.0138193525859527,0.7469938467152074,0.027136677851479583,0.013754971034651679
r20,147,02,unknown,unknown,0.88,85232,5975924,35354,22226436,0.014062004013755791,0.7068150531570829,0.027575398649765714,0.013980457671684291
r20,147,02,unknown,unknown,0.9,81180,5627658,39406,22574702,0.01422005669104641,0.6732124790605875,0.027851808343328604,0.014122573780792883
r20,147,02,unknown,unknown,0.92,76515,5213389,44071,22988971,0.014464345666764463,0.6345263960990496,0.028283944707410972,0.014344836636842129
r20,147,02,unknown,unknown,0.95,65805,4348113,54781,23854247,0.014908523447875561,0.5457101156021429,0.0290241225942242,0.01472576246464575
r20,147,03,unknown,unknown,0.1,318739,23988468,810,22656719,0.0131129421821273,0.9974651774845172,0.025885585580171417,0.013112505228213391
r20,147,03,unknown,unknown,0.2,316575,18252477,2974,28392710,0.017048527840839694,0.9906931331345115,0.033520216769892065,0.017045797803642963
